# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
3991.54	92.50	132.88				2448.79	1648.51	-740.07	1487.97	1.23	-1660.95	OK
4018.69	89.88	130.05				2448.22	1675.40	-758.04	1508.31	4.26	-1660.38	OK
4045.76	91.73	130.11				2447.84	1702.30	-775.47	1529.01	2.05	-1660.00	OK
4072.92	90.86	129.58				2447.23	1729.30	-792.87	1549.86	1.13	-1659.39	OK
4100.14	92.59	129.76				2446.41	1756.36	-810.23	1570.80	1.92	-1658.57	OK
4127.27	91.63	129.96				2445.41	1783.31	-827.61	1591.61	1.08	-1657.57	OK
4154.44	89.57	128.47				2445.13	1810.35	-844.79	1612.66	2.81	-1657.29	OK
4181.54	89.57	129.38				2445.33	1837.34	-861.81	1633.74	1.01	-1657.49	OK
4208.65	89.85	132.00				2445.47	1864.25	-879.48	1654.30	2.92	-1657.63	OK
4235.83	89.63	131.63				2445.59	1891.15	-897.61	1674.56	0.48	-1657.75	OK
4262.92	88.98	131.62				2445.92	1917.98	-915.60	1694.80	0.72	-1658.08	OK
4290.14	90.74	131.12				2445.99	1944.96	-933.59	1715.23	2.02	-1658.15	OK
4317.27	92.25	131.10				2445.28	1971.85	-951.42	1735.66	1.67	-1657.44	OK
4344.44	91.45	130.44				2444.40	1998.80	-969.15	1756.23	1.14	-1656.56	OK
4371.53	91.51	130.11				2443.70	2025.71	-986.66	1776.89	0.37	-1655.86	OK
4398.75	90.59	129.24				2443.20	2052.77	-1004.03	1797.84	1.40	-1655.36	OK
4425.93	90.77	129.61				2442.88	2079.82	-1021.29	1818.83	0.45	-1655.04	OK
4453.14	90.09	131.52				2442.68	2106.83	-1038.99	1839.50	2.24	-1654.84	OK
4480.20	89.23	132.32				2442.84	2133.61	-1057.07	1859.64	1.30	-1655.00	OK
4507.35	88.12	131.86				2443.46	2160.46	-1075.26	1879.78	1.33	-1655.62	OK
4534.43	89.17	132.45				2444.10	2187.24	-1093.43	1899.85	1.33	-1656.26	OK
4561.56	90.43	133.12				2444.20	2214.03	-1111.86	1919.76	1.58	-1656.36	OK
4588.81	90.00	132.59				2444.10	2240.94	-1130.39	1939.73	0.75	-1656.26	OK
4616.01	89.41	132.51				2444.24	2267.81	-1148.78	1959.77	0.66	-1656.40	OK
4643.09	91.11	132.66				2444.11	2294.57	-1167.11	1979.71	1.89	-1656.27	OK
4670.21	91.54	133.37				2443.49	2321.32	-1185.60	1999.53	0.92	-1655.65	OK
4697.27	91.17	133.34				2442.85	2347.99	-1204.17	2019.20	0.41	-1655.01	OK
4724.52	91.54	131.50				2442.20	2374.92	-1222.55	2039.31	2.07	-1654.36	OK
4751.90	95.83	132.17				2440.44	2401.96	-1240.77	2059.67	4.76	-1652.60	OK
4778.96	92.31	132.46				2438.52	2428.65	-1258.94	2079.62	3.92	-1650.68	OK
4806.22	91.32	132.55				2437.66	2455.57	-1277.35	2099.71	1.09	-1649.82	OK
