# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
3831.53	90.55	0.41				2533.54	1381.63	1378.81	-107.99	1.64	-1736.61	OK
3858.83	91.23	0.02				2533.12	1408.91	1406.10	-107.88	0.86	-1736.19	OK
3886.06	91.54	359.18				2532.46	1436.12	1433.33	-108.07	0.99	-1735.53	OK
3913.31	91.23	359.79				2531.80	1463.35	1460.57	-108.32	0.75	-1734.87	OK
3940.61	90.99	0.10				2531.27	1490.63	1487.86	-108.34	0.43	-1734.34	OK
3967.89	90.62	359.30				2530.89	1517.90	1515.14	-108.49	0.97	-1733.96	OK
3995.13	89.85	358.53				2530.78	1545.14	1542.37	-109.00	1.20	-1733.85	OK
4022.31	91.17	0.84				2530.53	1572.30	1569.55	-109.15	2.94	-1733.60	OK
4049.53	90.68	1.10				2530.09	1599.49	1596.76	-108.69	0.61	-1733.16	OK
4076.76	89.54	1.46				2530.04	1626.67	1623.98	-108.08	1.32	-1733.11	OK
4104.05	89.48	1.27				2530.28	1653.92	1651.26	-107.43	0.22	-1733.35	OK
4131.36	88.24	0.73				2530.82	1681.19	1678.56	-106.96	1.49	-1733.89	OK
4158.70	88.86	0.73				2531.51	1708.49	1705.89	-106.61	0.68	-1734.58	OK
4186.08	90.03	0.45				2531.78	1735.84	1733.27	-106.33	1.32	-1734.85	OK
4213.43	90.43	359.87				2531.67	1763.17	1760.62	-106.25	0.77	-1734.74	OK
4240.79	90.74	359.65				2531.39	1790.52	1787.98	-106.37	0.42	-1734.46	OK
4268.11	90.49	358.73				2531.09	1817.83	1815.29	-106.75	1.05	-1734.16	OK
4295.47	89.45	358.25				2531.11	1845.19	1842.64	-107.47	1.26	-1734.18	OK
4322.71	90.59	358.77				2531.10	1872.43	1869.87	-108.18	1.38	-1734.17	OK
4349.89	90.65	358.35				2530.80	1899.61	1897.04	-108.86	0.47	-1733.87	OK
4377.22	90.65	359.89				2530.49	1926.93	1924.37	-109.28	1.69	-1733.56	OK
4404.54	90.55	359.65				2530.21	1954.24	1951.69	-109.39	0.29	-1733.28	OK
4431.76	90.68	359.33				2529.92	1981.45	1978.90	-109.64	0.38	-1732.99	OK
4458.96	90.99	0.82				2529.52	2008.63	2006.10	-109.60	1.68	-1732.59	OK
4486.10	91.60	0.56				2528.91	2035.74	2033.23	-109.27	0.73	-1731.98	OK
4513.37	88.92	359.63				2528.78	2062.99	2060.50	-109.23	3.12	-1731.85	OK
4540.52	89.69	359.71				2529.11	2090.12	2087.64	-109.38	0.86	-1732.18	OK
4567.67	89.88	359.72				2529.21	2117.26	2114.79	-109.52	0.21	-1732.28	OK
4594.98	90.43	359.49				2529.14	2144.56	2142.10	-109.71	0.65	-1732.21	OK
4622.27	90.46	359.09				2528.93	2171.85	2169.39	-110.05	0.44	-1732.00	OK
4649.58	92.06	0.36				2528.33	2199.14	2196.69	-110.18	2.24	-1731.40	OK
4676.86	92.77	359.79				2527.18	2226.38	2223.95	-110.14	1.00	-1730.25	OK
4704.05	91.11	359.95				2526.26	2253.54	2251.12	-110.20	1.84	-1729.33	OK
4731.08	91.66	359.88				2525.60	2280.54	2278.14	-110.24	0.62	-1728.67	OK
4758.19	90.18	358.10				2525.17	2307.65	2305.24	-110.72	2.56	-1728.24	OK
4785.40	92.53	359.74				2524.53	2334.84	2332.44	-111.23	3.16	-1727.60	OK
4812.68	92.19	359.66				2523.40	2362.09	2359.69	-111.38	0.38	-1726.47	OK
4839.92	92.43	359.01				2522.30	2389.30	2386.91	-111.69	0.76	-1725.37	OK
4867.15	91.11	0.57				2521.46	2416.50	2414.13	-111.79	2.25	-1724.53	OK
4894.39	89.66	0.77				2521.28	2443.72	2441.36	-111.47	1.61	-1724.35	OK
4921.72	90.71	0.84				2521.19	2471.01	2468.69	-111.09	1.16	-1724.26	OK
4948.99	91.54	0.05				2520.66	2498.26	2495.95	-110.88	1.26	-1723.73	OK
4976.30	91.39	0.63				2519.96	2525.54	2523.25	-110.72	0.66	-1723.03	OK
5003.58	90.52	0.94				2519.50	2552.78	2550.53	-110.34	1.02	-1722.57	OK
5030.88	89.82	0.17				2519.42	2580.06	2577.82	-110.08	1.14	-1722.49	OK
5058.23	89.85	0.10				2519.50	2607.39	2605.17	-110.01	0.08	-1722.57	OK
5085.45	90.22	0.03				2519.48	2634.59	2632.39	-109.98	0.42	-1722.55	OK
5112.62	91.20	359.95				2519.15	2661.75	2659.56	-109.99	1.09	-1722.22	OK
5139.85	90.92	0.46				2518.64	2688.95	2686.79	-109.89	0.64	-1721.71	OK
5167.14	90.80	2.07				2518.23	2716.20	2714.07	-109.29	1.77	-1721.30	OK
5194.37	90.06	2.46				2518.03	2743.35	2741.27	-108.21	0.92	-1721.10	OK
5221.60	90.09	2.25				2517.99	2770.51	2768.48	-107.09	0.23	-1721.06	OK
5248.86	89.75	1.21				2518.03	2797.71	2795.73	-106.27	1.20	-1721.10	OK
5276.00	89.75	0.71				2518.15	2824.82	2822.86	-105.81	0.55	-1721.22	OK
5303.21	89.72	0.29				2518.28	2852.01	2850.07	-105.58	0.46	-1721.35	OK
5330.37	89.75	359.79				2518.40	2879.15	2877.23	-105.56	0.55	-1721.47	OK
5357.56	89.88	359.60				2518.49	2906.33	2904.42	-105.70	0.25	-1721.56	OK
5384.81	89.88	358.90				2518.55	2933.57	2931.67	-106.06	0.77	-1721.62	OK
5412.07	89.75	358.43				2518.64	2960.83	2958.92	-106.69	0.54	-1721.71	OK
5439.19	90.12	0.62				2518.67	2987.94	2986.04	-106.92	2.46	-1721.74	OK
5466.39	90.34	1.22				2518.56	3015.11	3013.23	-106.48	0.70	-1721.63	OK
