Hole Depth,Bit Depth,On Bottom,On Bottom Hours,On Bottom ROP,Mechanical Specific Energy,Block Height,Hook Load,Trip Speed,Weight on Bit,Differential Pressure,Rotary RPM,Rotary Torque,Total Pump Output,Standpipe Pressure,Gamma,Inclination,Azimuth,Tool Face,Magnetic Toolface,Gravity Toolface,Rig Sub State,Bit Depth,MWD Continuous Azi,MWD Continuous Inc,MWD TEMP (deg),Rate Of Penetration,Time Of Penetration,YYYY/MM/DD,HH:MM:SS
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:38:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:38:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:39:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:40:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:40:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:40:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:40:30
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:40:40
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:40:50
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:00
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:10
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:20
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:30
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:40
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:41:50
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:00
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:10
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:20
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:30
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:40
5565.00,5555.28,0,76.0,-999.25,-999.25,4.9,-999.25,0.00,0.0,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,89.26,2.06,134.75,94.67,134.75,-999.25,5555.28,0.00,3735.00,98.440,-999.25,-999.25,2023/04/03,16:42:50
